year,rating,id,title,imdb_id
1929,3,2324,Pandora’s Box (Die B&uuml;chse der Pandora),0018737
1929,3,7287,Juno and the Paycock [The Shame of Mary Boyle],0021015
1929,0,1313,Un chien andalou,0020530
1930,3,3713,Ladies of Leisure,0021040
1930,0,1316,All Quiet on the Western Front,0020629
1930,0,3871,L’Age d&#39;Or,0021577
1930,1,3865,Morocco,0021156
1930,3,1326,Anna Christie,0020641
1930,1,1315,The Blue Angel,0020697
1930,3,8463,Animal Crackers,0020640
1930,2,4253,Be Yourself,0020670
1930,3,6782,The Bat Whispers,0020668
1930,3,7291,Murder!,0021165
1930,3,3927,Min and Bill,0021148
1931,3,9095,Skippy,0022397
1931,3,1327,Anna Christie,0020642
1931,3,1828,Indiscreet,0022000
1931,1,6043,Little Caesar,0021079
1931,3,7294,The Skin Game,0022395
1931,3,628,M&auml;dchen in Uniform,0022183
1931,2,1985,Dracula,0021814
1931,1,6031,A Nous la Liberte,0022599
1931,3,610,M,0022100
1931,3,5934,The Public Enemy,0022286
1931,0,1974,Pardon Us,0022251
1931,0,1956,The Last Flight,0022054
1931,3,1333,Mata Hari,0023196
1931,3,8467,Cimarron,0021746
1931,3,6030,La Chienne,0021739
1931,0,1633,Tabu: A Story of the South Seas,0022458
1931,3,8213,Dracula,0021815
1931,2,7296,Rich and Strange [East of Shanghai],0023395
1931,3,5741,The Cheat,0021735
1931,3,2705,City Lights,0021749
1931,1,8557,Hyppolit a lakaj,0021985
1931,2,4243,The Smiling Lieutenant,0022074
1931,1,9110,The Champ,0021730
1931,1,1317,Frankenstein,0021884
1931,1,2384,Monkey Business,0022158
1931,3,636,Night Nurse,0022208
1932,2,5783,The Girl from Calgary,0022940
1932,1,6990,The Blue Light (Das Blaue Licht),0022694
1932,3,6051,Three on a Match,0023590
1932,0,7301,Number 17,0023285
1932,1,2383,Horse Feathers,0023027
1932,3,6852,Thirteen Women,0023582
1932,3,5742,Merrily We Go to Hell,0023213
1932,0,2550,White Zombie,0023694
1932,1,3844,Island of Lost Souls,0024188
1932,2,3659,Freaks,0022913
1932,1,3530,"I Was Born, But...",0023634
1932,1,1318,I Am a Fugitive from a Chain Gang,0023042
1932,3,5929,Shanghai Express,0023458
1932,1,6176,The Death Kiss,0023935
1932,1,2767,Boudu Saved from Drowning,0022718
1932,3,5910,Vampyr,0023649
1932,0,3658,The Most Dangerous Game,0023238
1932,2,1983,The Age of Consent,0022614
1932,3,1328,Grand Hotel,0022958
1932,1,6063,Scarface,0023427
1932,3,4775,The Old Dark House,0023293
1932,2,6052,Love Me Tonight,0023158
1932,3,6092,Red-Headed Woman,0023385
1933,1,7450,The Invisible Man,0024184
1933,3,5916,Gold Diggers of 1933,0024069
1933,1,5185,Duck Soup,0023969
1933,0,6205,The Peanut Vendor,0024432
1933,3,4335,42nd Street,0024034
1933,3,8477,Cavalcade,0023876
1933,3,6193,A Study in Scarlet,0024625
1933,3,1330,Queen Christina,0024481
1933,3,3210,The Vampire Bat,0024727
1933,3,7528,Baby Face,0023775
1933,0,2229,King Kong,0024216
1933,1,1248,The Private Life of Henry VIII.,0024473
1933,3,5752,Tomorrow at Seven,0024679
1933,3,3188,Alice in Wonderland,0023753
1933,3,2231,Little Women,0024264
1933,1,8346,Design for Living,0023940
1933,3,6056,Female,0024008
1933,3,802,Footlight Parade,0024028
1933,3,5029,Day of Reckoning,0023932
1934,1,1270,Cleopatra,0024991
1934,0,8653,Mystery Liner,0025543
1934,3,621,It Happened One Night,0025316
1934,3,4443,Spitfire,0025822
1934,3,7304,The Man Who Knew Too Much,0025452
1934,0,1795,L’atalante,0024844
1934,3,4702,Maniac,0025465
1934,2,5523,Lost in the Stratosphere,0025424
1934,1,1329,The Painted Veil,0025617
1934,3,1325,The Scarlet Empress,0025746
1934,3,5821,Search for Beauty,0025755
1934,0,1969,The Lost Patrol,0025423
1934,1,1379,Of Human Bondage,0025586
1934,3,7999,Imitation of Life,0025301
1934,3,6772,Evelyn Prentice,0025091
1934,1,1246,The Count of Monte Cristo,0025004
1934,1,1324,The Cat&#39;s-Paw,0024961
1934,3,5319,Anne of Green Gables,0024831
1935,2,5750,The Lady in Scarlet,0026599
1935,3,2362,Roberta,0026942
1935,3,1685,Naughty Marietta,0026768
1935,1,3881,A Night At The Opera,0026778
1935,2,595,Top Hat,0027125
1935,2,1261,Anna Karenina,0026071
1935,1,1361,Mutiny on the Bounty,0026752
1935,3,2756,Magnificent Obsession,0026667
1935,3,3891,The Bride of Frankenstein,0026138
1935,2,5913,The Riverside Murder,0026939
1935,3,1242,The 39 Steps,0026029
1935,2,7998,Mad Love,0026663
1936,3,3560,The Only Son,0027752
1936,2,1360,Wife vs. Secretary,0028505
1936,2,6096,Fury,0027652
1936,0,1323,Modern Times,0027977
1936,1,596,Swing Time,0028333
1936,3,4143,Bullets or Ballots,0027407
1936,3,7308,Secret Agent,0028231
1936,0,2554,Revolt of the Zombies,0028174
1936,3,1992,Mr. Deeds Goes to Town,0027996
1936,3,5926,Sabotage,0028212
1936,3,6174,Murder at Glen Athol,0028000
1936,1,2699,Earthworm Tractors,0027562
1936,1,1359,San Francisco,0028216
1936,3,4010,Pennies from Heaven,0028092
1936,3,3280,Theodora Goes Wild,0028355
1936,3,3401,The Great Ziegfeld,0027698
1936,1,1237,The Charge of the Light Brigade,0027438
1936,3,3548,The Mandarin Mystery,0029207
1936,2,5852,My Man Godfrey,0028010
1936,3,1369,The Petrified Forest,0028096
1936,2,7227,These Three,0028356
1936,3,2853,Osaka Elegy,0028021
1936,3,7992,Dracula’s Daughter,0027545
1936,0,6210,Il caso Valdemar,3427056
1936,3,2363,Born to Dance,0027387
1936,3,4069,Romeo and Juliet,0028203
1936,3,3598,Camille,0028683
1937,1,5617,Murder at the Baskervilles (Silver Blaze),0029565
1937,3,795,Stella Dallas,0029608
1937,3,8473,"Bizarre, Bizarre",0027552
1937,0,3968,Nothing Sacred,0029322
1937,3,631,Stage Door,0029604
1937,2,1244,Knight Without Armor,0029087
1937,2,2382,A Day at the Races,0028772
1937,3,7877,Marked Woman,0029217
1937,2,1336,Lost Horizon,0029162
1937,1,1240,The Prisoner of Zenda,0029442
1937,3,6554,The Awful Truth,0028597
1937,2,1358,Parnell,0029377
1937,2,1332,Conquest,0028739
1937,3,7317,The Girl Was Young,0029811
1937,3,1976,Snow White and the Seven Dwarfs,0029583
1937,2,1335,Topper,0029682
1937,1,8478,The Life of Emile Zola,0029146
1937,2,5740,Pepe le Moko,0029453
1937,1,597,Shall We Dance,0029546
1937,3,4255,Make Way for Tomorrow,0029192
1938,2,1367,Jezebel,0030287
1938,1,2590,"Mr. Wong, Detective",0030473
1938,0,1238,The Dawn Patrol,0030044
1938,0,2467,Boys Town,0029942
1938,1,7290,Angels with Dirty Faces,0029870
1938,1,6042,The Baker&#39;s Wife,0030127
1938,3,620,The Lady Vanishes,0030341
1938,3,994,Holiday,0030241
1938,2,3283,Bluebeard’s Eighth Wife,0029929
1938,3,4495,The Mad Miss Manton,0030396
1938,3,3400,Bringing Up Baby,0029947
1938,2,594,Carefree,0029971
1938,3,3951,Four Daughters,0030149
1938,2,3103,The Adventures of Robin Hood,0029843
1938,2,1378,The Sisters,0030755
1939,3,593,Stagecoach,0031971
1939,2,1385,The Story of Alexander Graham Bell,0031981
1939,3,9038,Love Affair,0031593
1939,1,2622,Mr. Wong in Chinatown,0031680
1939,2,1245,"Goodbye, Mr. Chips",0031385
1939,3,1259,Ninotchka,0031725
1939,1,2851,Of Mice and Men,0031742
1939,3,1370,Dark Victory,0031210
1939,3,5634,Destry Rides Again,0031225
1939,2,2372,At the Circus,0031060
1939,3,174,The Wizard of Oz,0032138
1939,2,1384,Drums Along the Mohawk,0031252
1939,3,3723,Babes in Arms,0031066
1939,0,2086,The Hunchback of Notre Dame,0031455
1939,2,383,Dodge City,0031235
1939,3,3089,The Rules of the Game,0031885
1939,3,5863,The Adventures of Sherlock Holmes,0031022
1939,3,5763,Nancy Drew... Reporter,0031709
1939,3,588,The Women,0032143
1939,0,1973,The Flying Deuces,0031322
1939,2,1383,Jesse James,0031507
1939,0,8511,Gulliver’s Travels,0031397
1939,2,1368,Juarez,0031516
1939,2,8098,Le jour se l&egrave;ve,0031514
1939,2,1239,Wuthering Heights,0032145
1939,3,7322,Jamaica Inn,0031505
1939,2,1382,Young Mr. Lincoln,0032155
1939,2,5946,Mr. Smith Goes to Washington,0031679
1939,3,291,Gone with the Wind,0031381
1939,3,2555,The Gorilla,0031387
1939,2,1371,Essex and Elizabeth,0031826
1940,3,4943,The Philadelphia Story,0032904
1940,1,1356,Boom Town,0032273
1940,1,2678,Santa Fe Trail,0033021
1940,3,3033,His Girl Friday,0032599
1940,1,8480,Knute Rockne All American,0032676
1940,1,7311,Foreign Correspondent,0032484
1940,0,1366,The Return of Frank James,0032983
1940,3,4257,Pride and Prejudice,0032943
1940,2,1373,"All This, and Heaven Too",0032194
1940,3,7861,The Shop Around the Corner,0033045
1940,2,1380,The Letter,0032701
1940,2,1355,Comrade X,0032349
1940,3,1387,The Grapes of Wrath,0032551
1940,3,3050,The Sea Hawk,0033028
1940,0,1265,The Thief of Bagdad,0033152
1940,2,4363,Chamber of Horrors / Door with the Seven Locks,0032406
1940,3,1501,The Mortal Storm,0032811
1940,1,478,Pinocchio,0032910
1940,3,5773,Gaslight,0031359
1940,0,5039,Fantasia,0032455
1940,3,2556,The Ape,0032215
1940,3,5320,Anne Of Windy Poplars,0032211
1940,3,4415,"Dance, Girl, Dance",0032376
1940,3,4354,Primrose Path,0032946
1940,0,1357,Strange Cargo,0033105
1940,3,3470,The Great Dictator,0032553
1940,3,618,Rebecca,0032976
1940,0,1975,A Chump at Oxford,0032339
1940,3,5802,The Last Alarm,0032690
1941,3,6171,Murder by Invitation,0033928
1941,1,1266,Citizen Kane,0033467
1941,1,1941,Mr. Bug Goes to Town,0033727
1941,1,1230,The Maltese Falcon,0033870
1941,3,4359,Sullivan’s Travels,0034240
1941,0,8625,Sun valley serenade,0034241
1941,2,2436,The Wolf Man,0034398
1941,3,8983,How Green Was My Valley,0033729
1941,2,1372,The Little Foxes,0033836
1941,1,6318,Ladies In Retirement,0033802
1941,3,1512,The Shanghai Gesture,0034175
1941,3,9025,The Reluctant Dragon,0034091
1941,3,2446,Cheers for Miss Bishop,0033459
1941,2,1386,The Lady Eve,0033804
1941,3,2910,Hold That Ghost,0033723
1941,1,2468,Men of Boys Town,0033902
1941,3,7329,Suspicion,0034248
1941,1,2410,High Sierra,0033717
1941,3,2906,Buck Privates,0033436
1941,3,9192,King of the Zombies,0033787
1941,2,1331,Two-Faced Woman,0034328
1941,3,1682,The Devil and Miss Jones,0033533
1941,0,2867,49th Parallel,0033627
1941,3,3717,Meet John Doe,0033891
1941,2,1117,Dumbo,0033563
1942,2,3875,Tales of Manhattan,0035415
1942,3,681,The Major and the Minor,0035019
1942,3,689,"Now, Voyager",0035140
1942,0,3789,There Was a Father,0034591
1942,1,1388,Son of Fury: The Story of Benjamin Blake,0035360
1942,1,1116,Bambi,0034492
1942,0,3518,Black Dragons,0034521
1942,0,5303,To Be or Not to Be,0035446
1942,1,5859,Sherlock Holmes and the Secret Weapon,0035317
1942,1,1076,Casablanca,0034583
1942,3,4870,Woman of the Year,0035567
1942,1,7697,The Corpse Vanishes,0034613
1942,3,2708,Cat People,0034587
1942,2,1289,The Magnificent Ambersons,0035015
1942,3,1686,I Married an Angel,0034882
1942,1,5939,Saboteur,0035279
1942,0,7696,Saludos Amigos,0036326
1942,3,1675,For Me and My Gal,0034746
1942,3,6384,Mrs. Miniver,0035093
1942,3,4475,The Man Who Came to Dinner,0033874
1943,3,8090,The Seventh Victim,0036341
1943,3,1374,Old Acquaintance,0036230
1943,3,3890,Le Corbeau: The Raven,0035753
1943,0,5554,Fires Were Started,0035881
1943,3,6781,Jane Eyre,0036969
1943,3,3753,Day of Wrath,0036506
1943,3,4617,Shadow of a Doubt,0036342
1943,0,1988,Guadalcanal Diary,0035957
1943,1,1691,Girl Crazy,0035942
1943,3,8501,China,0035735
1943,2,3839,The Life and Death of Colonel Blimp,0036112
1943,1,1959,The Sky&#39;s the Limit,0036363
1943,3,6315,So Proudly We Hail!,0036367
1943,3,5209,Cry ’Havoc&#39;,0035770
1943,3,1955,I Walked with a Zombie,0036027
1943,0,1987,Sahara,0036323
1943,1,8801,Ossessione,0035160
1943,3,2407,Tender Comrade,0036418
1943,3,7834,Angels of Sin,0035636
1943,3,1375,Watch on the Rhine,0036515
1943,1,7475,La main du diable,0035017
1943,1,7410,The More the Merrier,0036172
1943,0,4699,Judo Saga (Sanshiro Sugata),0036400
1943,1,6310,The Ox-Bow Incident,0036244
1944,3,5983,Lifeboat,0037017
1944,3,4698,The Most Beautiful (Ichiban utsukushiku),0036947
1944,1,2181,Window in the Window,0037469
1944,3,3134,Cover Girl,0036723
1944,0,6319,The Three Caballeros,0038166
1944,3,201,Arsenic and Old Lace,0036613
1944,2,1376,Mr. Skeffington,0037094
1944,0,2045,Torment,0036914
1944,3,1416,Double Indemnity,0036775
1944,3,3279,I’ll Be Seeing You,0036940
1944,3,9270,The Uninvited,0037415
1944,3,1676,Meet Me in St. Louis,0037059
1944,3,6515,A Canterbury Tale,0036695
1944,2,1683,Hail the Conquering Hero,0036891
1944,1,6420,Minstrel Man,0037076
1944,3,3245,To Have and Have Not,0037382
1944,3,2715,Laura,0037008
1944,3,4222,National Velvet,0037120
1944,3,3154,Since You Went Away,0037280
1945,3,5677,Keep Your Powder Dry,0037843
1945,3,4428,"Rome, Open City",0038890
1945,2,6848,Thin Man Goes Home,0037365
1945,3,2434,The Enchanted Cottage,0037671
1945,3,1213,I Know Where I’m Going,0037800
1945,1,3999,Detour,0037638
1945,0,6017,Anchors Aweigh,0037514
1945,3,7185,Dead of Night,0037635
1945,3,1280,The Seventh Veil,0038924
1945,3,5856,The Woman in Green,0038259
1945,3,9005,The Wicked Lady,0038250
1945,3,7835,Les dames du Bois de Boulogne,0037630
1945,3,794,Mildred Pierce,0037913
1945,3,1544,Brief Encounter,0037558
1945,0,3271,"Objective, Burma!",0037954
1945,2,5129,Children of Paradise,0037674
1945,3,4252,Spellbound,0038109
1945,1,6945,The Red Dragon,0038017
1945,3,5081,Scarlet Street,0038057
1945,0,1639,Along Came Jones,0037508
1945,3,2004,Isle of the Dead,0037820
1945,2,3583,The Lost Weekend,0037884
1946,0,1231,Stairway to Heaven,0038733
1946,1,5872,Terror by Night,0039017
1946,3,1381,Devotion,0038474
1946,0,2809,Gilda,0038559
1946,0,1377,Deception,0038461
1946,3,4002,Dressed to Kill,0038494
1946,1,1424,The Postman Always Rings Twice,0038854
1946,2,9182,Great Expectations,0038574
1946,3,8354,The Years Between,0039112
1946,3,2235,It’s a Wonderful Life,0038650
1946,3,3145,The Strange Woman,0038990
1946,3,1680,Two Sisters from Boston,0039054
1946,2,4900,Duel in the sun,0038499
1946,2,3982,The Best Years of Our Lives,0036868
1946,1,2654,The Jolson Story,0038661
1946,1,8052,Make Mine Music,0038718
1946,3,1268,Beauty and the Beast,0038348
1946,1,5961,The Dark Corner,0038453
1946,3,7671,The Stranger,0038991
1946,1,5497,The Chase,0038409
1946,3,786,The Harvey Girls,0038589
1946,1,3783,My Darling Clementine,0038762
1946,2,622,Notorious,0038787
1946,2,5646,Song of the South,0038969
1946,1,971,The Big Sleep,0038355
1947,2,2330,The Paradine Case,0039694
1947,3,8619,Body and Soul,0039204
1947,3,2287,The Egg and I,0039349
1947,2,5779,Calendar Girl,0039236
1947,3,1681,The Shocking Miss Pilgrim,0039819
1947,3,3047,The Ghost and Mrs. Muir,0039420
1947,3,8729,The Unfinished Dance,0039938
1947,1,8053,Fun &amp; Fancy Free,0039404
1947,2,6550,Build My Gallows High,0039689
1947,3,7432,Nada,0039650
1947,2,3112,Gunfighters,0039441
1947,3,1211,Black Narcissus,0039192
1947,0,8756,The Lady from Shanghai,0040525
1947,3,8646,Dishonored Lady,0039324
1947,2,1679,Good News,0039431
1947,2,1278,Odd Man Out,0039677
1947,2,4411,Crossfire,0039286
1947,3,8989,Miracle on 34th Street,0039628
1947,1,1235,The Exile,0039360
1948,0,1320,Red River,0040724
1948,3,2445,Mr. Blandings Builds His Dream House,0040613
1948,1,8054,Melody Time,0040580
1948,0,1601,Rudolph the Red-Nosed Reindeer,0156031
1948,2,6517,Bicycle Thieves,0040522
1948,0,3239,The Treasure of the Sierra Madre,0040897
1948,0,8559,It Happened in Europe,0039949
1948,3,1241,Enchantment,0040321
1948,2,1262,Anna Karenina,0040098
1948,3,1677,Easter Parade,0040308
1948,3,4390,I Remember Mama,0040458
1948,1,2300,The Fuller Brush Man,0040379
1948,1,5115,Call Northside 777,0040202
1948,1,2256,Casbah,0040214
1948,3,1229,The Red Shoes,0040725
1948,2,1236,Bonnie Prince Charlie,0040183
1948,0,1354,Command Decision,0040242
1948,2,4944,Act of Violence,0041088
1948,1,1232,Hamlet,0040416
1948,1,8264,Macbeth,0040558
1948,3,6363,Joan of Arc,0040491
1948,3,2098,The Snake Pit,0040806
1948,0,2040,Rope,0040746
1949,1,4554,The Fountainhead,0041386
1949,2,7018,I Was a Male War Bride,0041498
1949,0,7059,The Adventures of Ichabod and Mr. Toad,0041094
1949,3,6358,The Heiress,0041452
1949,3,1736,Pinky,0041746
1949,3,2232,Little Women,0041594
1949,3,1841,Caught,0040221
1949,3,1684,The Barkleys of Broadway,0041158
1949,3,1716,Adam’s Rib,0041090
1949,3,7341,Under Capricorn,0042004
1949,0,2651,Mighty Joe Young,0041650
1949,3,3967,A Letter to Three Wives,0041587
1949,3,1690,On the Town,0041716
1949,2,2849,The Man on the Eiffel Tower,0041628
1949,1,4008,Kind Hearts and Coronets,0041546
1949,0,1986,The Set-Up,0041859
1949,0,611,The Third Man,0041959
1949,3,3539,Late Spring,0041154
1950,3,4521,Odette,0043871
1950,3,1678,Summer Stock,0043012
1950,2,3295,Orpheus,0041719
1950,3,5232,No Way Out,0042792
1950,3,7836,Les enfants terribles,0042436
1950,2,4417,In a Lonely Place,0042593
1950,1,5350,D.O.A.,0042369
1950,2,2596,Harvey,0042546
1950,3,7144,Scandal,0042958
1950,3,6233,Stage Fright,0042994
1950,0,1402,Rashomon,0042876
1950,3,1057,Cinderella,0042332
1950,3,3990,Born Yesterday,0042276
1950,1,2099,The Asphalt Jungle,0042208
1950,3,608,Sunset Blvd.,0043014
1950,3,139,All About Eve,0042192
1950,3,8363,Three Secrets,0043045
1950,1,4031,The Flying Saucer,0042469
1951,3,7157,The Idiot,0043614
1951,3,5739,Cause for Alarm!,0043390
1951,2,871,Ace In The Hole,0043338
1951,2,1417,Strangers on a Train,0044079
1951,3,1916,The Day the Earth Stood Still,0043456
1951,0,1491,The African Queen,0043265
1951,3,3222,Early Summer,0043313
1951,3,2930,A Streetcar Named Desire,0044081
1951,3,3825,Bellissima,0043332
1951,3,6498,Westward the Women,0044205
1951,1,2989,Diary of a Country Priest,0042619
1951,3,5092,Quo Vadis,0043949
1951,1,3293,The Thing from Another World,0044121
1951,1,3389,An American in Paris,0043278
1951,3,1207,Alice in Wonderland,0043274
1951,3,4510,Take Care of My Little Girl,0044100
1951,3,2977,Show Boat,0044030
1951,3,7435,Surcos,0044092
1952,3,1689,Lovely to Look at,0044855
1952,3,8241,Europe ’51,0043511
1952,3,5972,Forbidden Games,0043686
1952,0,1465,The Big Sky,0044419
1952,2,7323,The Bad and the Beautiful,0044391
1952,1,2737,The Quiet Man,0045061
1952,1,6917,Limelight,0044837
1952,3,612,Singin’ in the Rain,0045152
1952,2,1243,The Magic Box,0043769
1952,1,7162,Ikiru,0044741
1952,3,3403,Clash by Night,0044502
1952,2,2704,High Noon,0044706
1952,1,6941,The Snows of Kilimanjaro,0045162
1953,3,4909,How to Marry a Millionaire,0045891
1953,3,2427,Calamity Jane,0045591
1953,1,3303,Shane,0046303
1953,1,1692,The Band Wagon,0045537
1953,3,2547,Gentlemen Prefer Blondes,0045810
1953,3,4071,From Here to Eternity,0045793
1953,0,8011,Inferno,0045911
1953,3,1630,Tokyo Story,0046438
1953,0,4301,The Hitch-Hiker,0045877
1953,3,5937,Mr. Hulot’s Holiday,0046487
1953,1,2375,The War of the Worlds,0046534
1953,2,1362,Mogambo,0046085
1953,3,2553,The Cruel Sea,0045659
1953,1,1272,Julius Caesar,0045943
